source,level,rank,russian,translations,detail_path,page_url
openrussian,A1,57,сто́ить,cost; worth,/ru/%D1%81%D1%82%D0%BE'%D0%B8%D1%82%D1%8C,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,58,ко́фе,coffee,/ru/%D0%BA%D0%BE'%D1%84%D0%B5,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,59,гости́ница,hotel,/ru/%D0%B3%D0%BE%D1%81%D1%82%D0%B8'%D0%BD%D0%B8%D1%86%D0%B0,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,60,хо́лодно,it is cold,/ru/%D1%85%D0%BE'%D0%BB%D0%BE%D0%B4%D0%BD%D0%BE,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,61,такси́,taxi,/ru/%D1%82%D0%B0%D0%BA%D1%81%D0%B8',https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,62,туале́т,toilet; dress,/ru/%D1%82%D1%83%D0%B0%D0%BB%D0%B5'%D1%82,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,63,носо́к,"sock; toe (of a boot, shoe or sock)",/ru/%D0%BD%D0%BE%D1%81%D0%BE'%D0%BA,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,64,краси́во,beautifully,/ru/%D0%BA%D1%80%D0%B0%D1%81%D0%B8'%D0%B2%D0%BE,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,65,жа́рко,it is hot,/ru/%D0%B6%D0%B0'%D1%80%D0%BA%D0%BE,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,66,свобо́дно,freely; easily; fluently,/ru/%D1%81%D0%B2%D0%BE%D0%B1%D0%BE'%D0%B4%D0%BD%D0%BE,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,67,вку́сно,tasty,/ru/%D0%B2%D0%BA%D1%83'%D1%81%D0%BD%D0%BE,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,68,бар,bar,/ru/%D0%B1%D0%B0%D1%80,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,69,суперма́ркет,supermarket,/ru/%D1%81%D1%83%D0%BF%D0%B5%D1%80%D0%BC%D0%B0'%D1%80%D0%BA%D0%B5%D1%82,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,70,по-ру́сски,in Russian,/ru/%D0%BF%D0%BE-%D1%80%D1%83'%D1%81%D1%81%D0%BA%D0%B8,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,71,здра́вствуйте,hello,/ru/%D0%B7%D0%B4%D1%80%D0%B0'%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,72,банкома́т,ATM,/ru/%D0%B1%D0%B0%D0%BD%D0%BA%D0%BE%D0%BC%D0%B0'%D1%82,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,73,извини́те,sorry!,/ru/%D0%B8%D0%B7%D0%B2%D0%B8%D0%BD%D0%B8'%D1%82%D0%B5,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,74,он,he,/ru/%D0%BE%D0%BD,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,75,я,I,/ru/%D1%8F,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,76,она́,she,/ru/%D0%BE%D0%BD%D0%B0',https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,77,они́,they,/ru/%D0%BE%D0%BD%D0%B8',https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,78,мы,we,/ru/%D0%BC%D1%8B,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,79,ты,you,/ru/%D1%82%D1%8B,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,80,вы,you (plural); you (formal),/ru/%D0%B2%D1%8B,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,81,оно́,it,/ru/%D0%BE%D0%BD%D0%BE',https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,82,до свида́ния,bye (formal),/ru/%D0%B4%D0%BE%20%D1%81%D0%B2%D0%B8%D0%B4%D0%B0'%D0%BD%D0%B8%D1%8F,https://en.openrussian.org/vocab/A1?start=50
openrussian,A1,83,зову́т,to be called (= name is),/ru/%D0%B7%D0%BE%D0%B2%D1%83'%D1%82,https://en.openrussian.org/vocab/A1?start=50
