source,level,rank,russian,translations,detail_path,page_url
openrussian,B1,69,опя́ть,again (occurring another time),/ru/%D0%BE%D0%BF%D1%8F'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,70,одна́ко,however; you don't say! not really!,/ru/%D0%BE%D0%B4%D0%BD%D0%B0'%D0%BA%D0%BE,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,71,пра́вда,truth; justice; sure enough; though,/ru/%D0%BF%D1%80%D0%B0'%D0%B2%D0%B4%D0%B0,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,72,посмотре́ть,look,/ru/%D0%BF%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80%D0%B5'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,73,про,about,/ru/%D0%BF%D1%80%D0%BE,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,74,бу́дто,as if,/ru/%D0%B1%D1%83'%D0%B4%D1%82%D0%BE,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,75,часть,part; share,/ru/%D1%87%D0%B0%D1%81%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,76,и́менно,exactly,/ru/%D0%B8'%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,77,доро́га,road,/ru/%D0%B4%D0%BE%D1%80%D0%BE'%D0%B3%D0%B0,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,78,свет,light; world; high society,/ru/%D1%81%D0%B2%D0%B5%D1%82,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,79,никако́й,no...at all,/ru/%D0%BD%D0%B8%D0%BA%D0%B0%D0%BA%D0%BE'%D0%B9,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,80,лежа́ть,to lie down (Где?); to be situated; to rest,/ru/%D0%BB%D0%B5%D0%B6%D0%B0'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,81,окно́,window,/ru/%D0%BE%D0%BA%D0%BD%D0%BE',https://en.openrussian.org/vocab/B1?start=50
